YEAR,COUNTRY,NLID,RE,IR,@INF,UP,EDU
2016,Hungary,15284.4756565297,70.6,3.143333,0.394769306686402,70.779,102.71395111084
2017,Hungary,17217.6732193599,6.4,2.9625,2.34824281150159,71.062,103.489959716797
2018,Hungary,19299.1982883904,61.8,3.058333,2.85024792594642,71.351,103.921157836914
2019,Hungary,21764.8648121771,61.1,2.465,3.3385863538201,71.644,80.3214569091797
2020,Hungary,22257.9263845836,60.2,2.225,3.3267438576673,,NA
2000,Luxembourg,111865.679893037,85,5.518167,3.15076707022592,84.216,97.0641937255859
2001,Luxembourg,119873.77164074,85,4.859,2.66382110579103,84.843,97.2367706298828
2002,Luxembourg,129711.299901327,85,4.703166,2.07408613571644,85.299,96.2585906982422
2003,Luxembourg,158587.81414764,85,3.316,2.04984030563515,85.743,96.1102981567383
2004,Luxembourg,192009.094701207,85,2.843417,2.22567916428892,86.177,95.4637908935547
2005,Luxembourg,231883.06640766,85,2.412667,2.48769665164086,86.598,95.362663269043
2006,Luxembourg,370830.513244802,76.9,3.303667,2.66631494577072,87.009,95.9055709838867
2007,Luxembourg,390273.155291173,76.9,4.461083,2.31245861786128,87.409,96.7169494628906
2008,Luxembourg,195843.643468744,77.3,4.608167,3.40187963025566,87.8,97.4829711914063
2009,Luxembourg,184923.759514678,76.2,4.22875,0.368041997888919,88.178,NA
2010,Luxembourg,183436.319249319,75.1,3.169167,2.27367911621542,88.547,101.290657043457
2011,Luxembourg,194712.013575049,76.4,2.923333,3.4106834106834,88.906,101.0224609375
2012,Luxembourg,182977.41676103,75.9,1.821,2.66284165508017,89.249,100.360717773438
2013,Luxembourg,209846.304192894,74.8,1.850917,1.73403963519166,89.574,102.736320495605
2014,Luxembourg,191319.144474726,72.6,1.336833,0.628543985440705,89.884,102.708389282227
2015,Luxembourg,152393.204710409,71.3,0.36875,0.4747431614378,90.179,102.319358825684
2016,Luxembourg,156903.523759786,73.7,0.25425,0.290833333333306,90.46,103.665161132813
2017,Luxembourg,168954.48874292,68.6,0.5448334,1.73079959118897,90.727,103.655052185059
2018,Luxembourg,174331.612546043,69.2,0.5646667,1.52819524307373,90.981,104.300483703613
2019,Luxembourg,177684.025142903,68.8,-0.1205833,1.74332075653843,91.223,104.695388793945
2020,Luxembourg,406751.600698173,66.8,-0.4135833,0.819957302126994,,NA
2000,Netherlands,42802.1405352775,70,5.403333,2.36052233801956,76.795,122.41854095459
2001,Netherlands,44591.9016875128,70,4.957,4.15584127195611,77.83,122.847480773926
2002,Netherlands,50476.5544843425,70,4.89025,3.28753104712768,79.113,120.761940002441
2003,Netherlands,65089.2917687585,70,4.123167,2.09199838997658,80.341,120.877532958984
2004,Netherlands,74393.9479429383,70,4.095,1.26364739183177,81.514,118.177993774414
2005,Netherlands,76270.487194537,70,3.373917,1.68813017869622,82.63,118.373611450195
2006,Netherlands,77727.1008694691,87.5,3.781667,1.10150106517704,83.636,118.604278564453
2007,Netherlands,107375.863151072,88.4,4.28775,1.61385859802103,84.539,119.4765625
2008,Netherlands,119047.380044236,88,4.22775,2.48650198289454,85.402,120.442031860352
2009,Netherlands,108771.254085931,86.5,3.686833,1.18977687021549,86.288,120.60619354248
2010,Netherlands,104358.917344454,82.6,2.990083,1.27530569556686,87.134,122.079109191895
2011,Netherlands,103933.410930005,81.9,2.988583,2.3410701775137,87.879,128.179122924805
2012,Netherlands,95906.329922974,81.9,1.93225,2.45554765291609,88.588,128.992492675781
2013,Netherlands,96494.0706083652,83,1.960583,2.50689852657884,89.187,NA
2014,Netherlands,89650.6924661016,89.7,1.454667,0.976035079699661,89.69,NA
2015,Netherlands,73778.8334713111,84.3,0.6903333,0.600248147278775,90.173,133.545852661133
2016,Netherlands,62679.7185835124,80,0.2910833,0.316666666666663,90.635,132.691650390625
2017,Netherlands,64054.7169105764,80.2,0.5220833,1.3814587140721,91.077,135.575119018555
2018,Netherlands,69458.1157607681,80.5,0.5769167,1.70349794744475,91.49,134.279434204102
2019,Netherlands,69263.210370383,81.4,-0.07016667,2.63369910249593,91.876,134.358734130859
2020,Netherlands,423654.095947278,80.4,-0.37675,1.2724603778917,,NA
2000,Poland,6953.21603978519,70,,9.90017538843062,61.716,100.102142333984
2001,Poland,7754.99618390416,70,10.68167,5.40833545566151,61.761,101.6259765625
2002,Poland,7855.22637497375,70,7.355834,1.90528215048054,61.787,103.792419433594
2003,Poland,8434.20910357734,70,5.7775,0.682701375787657,61.676,105.695022583008
2004,Poland,9867.27198337053,70,6.896667,3.38264681884694,61.564,97.554313659668
2005,Poland,11706.5854820171,70,5.218333,2.18379872390258,61.452,99.5829772949219
2006,Poland,12715.8042131555,56.5,5.231667,1.28469394366409,61.341,98.650749206543
2007,Poland,15726.8375078187,55.3,5.484334,2.45874312385397,61.229,98.0826187133789
2008,Poland,19718.0201130374,54.2,6.071667,4.1649719352477,61.116,97.1499481201172
2009,Poland,15828.7325516528,53.7,6.120598,3.79539242483406,61.004,96.2403564453125
2010,Poland,17698.4508987309,62.2,5.781667,2.58069370250546,60.892,95.9437103271484
2011,Poland,20129.9436837444,61.4,5.955583,4.23940149625935,60.78,95.8988571166992
2012,Poland,18812.2649828371,61.4,4.999283,3.56037151702788,60.654,96.2134094238281
2013,Poland,19441.0382020956,64,4.033292,0.99198260633235,60.529,107.350982666016
2014,Poland,19226.3032459972,70.1,3.516211,0.0538213132400467,60.403,106.90470123291
2015,Poland,16332.2958775738,67.3,2.700557,-0.874125874125849,60.278,107.743118286133
2016,Poland,18357.1104860332,68.7,3.035689,-0.664767331434023,60.178,108.604331970215
2017,Poland,22827.6439272722,67.8,3.42,2.07593553673862,60.105,109.933631896973
2018,Poland,25258.5204109435,67.2,3.198333,1.81295156542681,60.058,111.970199584961
2019,Poland,24663.8145611034,65.4,2.3475,2.227478809383,60.037,111.800842285156
2020,Poland,26651.840652591,62.6,1.499167,3.3744697261859,,NA
2000,Portugal,20236.3910230001,70,5.595,2.85303039287156,54.399,104.743621826172
2001,Portugal,20704.4914398332,70,5.158333,4.36990330551795,55.044,105.800628662109
2002,Portugal,30946.7347966488,70,5.005833,3.60034658290911,55.666,107.334373474121
2003,Portugal,38521.7178647164,70,4.178333,3.21899090682897,56.287,106.483909606934
2004,Portugal,43600.4014994064,70,4.143333,2.365362040973,56.907,95.0665512084961
2005,Portugal,44515.773513778,70,3.4375,2.27716394887833,57.522,97.9307403564453
2006,Portugal,45114.6170483344,73.3,3.915,3.10766545871054,58.137,98.493896484375
2007,Portugal,46228.0594822243,78.6,4.423333,2.45396528138739,58.749,101.962860107422
2008,Portugal,47239.407384481,80.5,4.519166,2.58850657657964,59.359,103.69303894043
2009,Portugal,42046.0816726708,81.1,4.210834,-0.83553002150417,59.964,105.90389251709
2010,Portugal,38027.5122762084,80.5,5.395833,1.40257289895371,60.567,106.752136230469
2011,Portugal,39789.2066664731,80.1,10.23917,3.65301100430729,61.167,106.585571289063
2012,Portugal,35781.674466135,83,10.5475,2.77333854051579,61.763,108.715896606445
2013,Portugal,35774.9836504149,82.8,6.294167,0.27441666666668,62.352,119.455421447754
2014,Portugal,35740.9418520711,84.9,3.754167,-0.278153367467421,62.936,116.081100463867
2015,Portugal,32124.3611288394,87.5,2.423333,0.487938623904736,63.514,118.769180297852
2016,Portugal,31628.2065314401,85.3,3.171667,0.607397074641661,64.086,118.024841308594
2017,Portugal,39530.6831702598,86.4,3.0525,1.36861411643481,64.652,119.913192749023
2018,Portugal,38872.1827559861,83.2,1.839167,0.99371568346825,65.211,120.833976745605
2019,Portugal,44267.844639373,79.7,0.7575,0.338178410046125,65.764,120.621208190918
2020,Portugal,51654.2358690298,76.5,0.4166667,-0.0124383299576167,,NA
2000,Sweden,39824.1776105632,70,5.3675,0.899143734041743,84.026,151.851165771484
2001,Sweden,38338.8257471631,70,5.1075,2.40595834145435,84.071,147.633224487305
2002,Sweden,45737.6959490301,70,5.303333,2.15848213589263,84.133,143.929550170898
2003,Sweden,63369.0538803792,70,4.638333,1.92565534892387,84.196,137.024932861328
2004,Sweden,72233.7393401492,70,4.425,0.373659828721796,84.258,103.292808532715
2005,Sweden,76181.2244055718,70,3.3825,0.453170852576176,84.319,104.059707641602
2006,Sweden,77791.7463019914,96.1,3.704167,1.36021468627688,84.43,103.569053649902
2007,Sweden,85813.6825275242,94.2,4.1675,2.21216883436735,84.588,102.386901855469
2008,Sweden,86619.8041891216,95.6,3.8875,3.43704910602875,84.746,101.303497314453
2009,Sweden,74190.7507874371,95.9,3.25,-0.494460544378046,84.902,99.4897308349609
2010,Sweden,81823.3050845593,95.5,2.893333,1.15798802715629,85.056,98.1203079223633
2011,Sweden,93690.2416881693,95,2.605,2.96115073822139,85.297,96.9797515869141
2012,Sweden,89560.4835905369,94.6,1.5925,0.8883775069237,85.62,98.1422500610352
2013,Sweden,96307.3328142208,93.2,2.120833,-0.0442929701486557,85.936,128.556381225586
2014,Sweden,94792.5560851963,91.1,1.72,-0.17963849411465,86.247,132.942123413086
2015,Sweden,80637.239103916,87.9,0.7191667,-0.0467847449832651,86.553,140.436767578125
2016,Sweden,79893.8308651851,89.7,0.5191666,0.984269244577978,86.852,144.90934753418
2017,Sweden,81429.5859152322,90.8,0.655,1.79449904665596,87.146,152.860687255859
2018,Sweden,103719.214733515,89.3,0.6516666,1.95353530127029,87.431,151.704544067383
2019,Sweden,103373.702709188,88,0.09375833,1.78415097403832,87.708,146.246322631836
2020,Sweden,72695.9992634938,85.3,-0.03801667,0.497367318853562,,NA
2000,Solvenia,20481.0550975424,70,,8.91174418658764,50.754,100.951461791992
2001,Solvenia,21947.5509998584,85,,8.37966587492205,50.78,106.615211486816
2002,Solvenia,25445.9580575317,85,,7.48077770703756,50.857,107.537208557129
2003,Solvenia,32965.0111665094,85,6.401667,5.54416421752898,51.082,109.055778503418
2004,Solvenia,39976.5731771765,85,4.683333,3.59297594249513,51.308,97.1886215209961
2005,Solvenia,43369.6905876461,85,3.806667,2.45150132316474,51.533,97.1878128051758
2006,Solvenia,46482.1026364002,75.1,3.853333,2.45792444195864,51.758,96.9782333374023
2007,Solvenia,54721.3400154265,72.9,4.53075,3.65749563284104,51.983,98.6569671630859
